State,Year,Income
Kansas,1984,12314
Kansas,1985,12882
Kansas,1986,13586
Kansas,1987,14021
Kansas,1988,14675
Kansas,1989,15368
Kansas,1990,16317
Kansas,1991,16817
Kansas,1992,17970
Kansas,1993,18584
Kansas,1994,19210
Kansas,1995,19771
Kansas,1996,20863
Kansas,1997,21823
Kansas,1998,22893
Kansas,1999,23495
Kansas,2000,24606
Kansas,2001,25463
Kansas,2002,26101
Kansas,2003,27127
Kansas,2004,27860
Kansas,2005,29113
Kansas,2006,31763
Kansas,2007,33643
Kansas,2008,36669
Kansas,2009,35925
Kansas,2010,36274
Kansas,2011,38731
Kansas,2012,40922
Kansas,2013,41461
Kansas,2014,42224
Kentucky,1984,9954
Kentucky,1985,10334
Kentucky,1986,10644
Kentucky,1987,11202
Kentucky,1988,12246
Kentucky,1989,13084
Kentucky,1990,13788
Kentucky,1991,14521
Kentucky,1992,15474
Kentucky,1993,15868
Kentucky,1994,16478
Kentucky,1995,17035
Kentucky,1996,17882
Kentucky,1997,18729
Kentucky,1998,19599
Kentucky,1999,20278
Kentucky,2000,21792
Kentucky,2001,22411
Kentucky,2002,23228
Kentucky,2003,23965
Kentucky,2004,25377
Kentucky,2005,26247
Kentucky,2006,27500
Kentucky,2007,28310
Kentucky,2008,29480
Kentucky,2009,29560
Kentucky,2010,30430
Kentucky,2011,31435
Kentucky,2012,32500
Kentucky,2013,32428
Kentucky,2014,33826
Louisiana,1984,10499
Louisiana,1985,10902
Louisiana,1986,11063
Louisiana,1987,11253
Louisiana,1988,12068
Louisiana,1989,12821
Louisiana,1990,13875
Louisiana,1991,14554
Louisiana,1992,15517
Louisiana,1993,16174
Louisiana,1994,17083
Louisiana,1995,17758
Louisiana,1996,18287
Louisiana,1997,19017
Louisiana,1998,19901
Louisiana,1999,20362
Louisiana,2000,21482
Louisiana,2001,22967
Louisiana,2002,23936
Louisiana,2003,24853
Louisiana,2004,25917
Louisiana,2005,27776
Louisiana,2006,30793
Louisiana,2007,32840
Louisiana,2008,34633
Louisiana,2009,33994
Louisiana,2010,35295
Louisiana,2011,35896
Louisiana,2012,37436
Louisiana,2013,37520
Louisiana,2014,39055
Maine,1984,10722
Maine,1985,11458
Maine,1986,12259
Maine,1987,13007
Maine,1988,14150
Maine,1989,15240
Maine,1990,15759
Maine,1991,16077
Maine,1992,16914
Maine,1993,17435
Maine,1994,18081
Maine,1995,18859
Maine,1996,19716
Maine,1997,20555
Maine,1998,21764
Maine,1999,22621
Maine,2000,24005
Maine,2001,25275
Maine,2002,26473
Maine,2003,27877
Maine,2004,29213
Maine,2005,29603
Maine,2006,30878
Maine,2007,31885
Maine,2008,33275
Maine,2009,33966
Maine,2010,34823
Maine,2011,35934
Maine,2012,36632
Maine,2013,36264
Maine,2014,37647
Maryland,1984,13712
Maryland,1985,14759
Maryland,1986,15697
Maryland,1987,16446
Maryland,1988,17948
Maryland,1989,18945
Maryland,1990,19835
Maryland,1991,20428
Maryland,1992,21306
Maryland,1993,21916
Maryland,1994,22650
Maryland,1995,23337
Maryland,1996,24104
Maryland,1997,24837
Maryland,1998,26758
Maryland,1999,28039
Maryland,2000,30130
Maryland,2001,31453
Maryland,2002,32996
Maryland,2003,34498
Maryland,2004,36529
Maryland,2005,37809
Maryland,2006,39384
Maryland,2007,40595
Maryland,2008,42553
Maryland,2009,42895
Maryland,2010,43985
Maryland,2011,45377
Maryland,2012,46283
Maryland,2013,45301
Maryland,2014,46486
Massachusetts,1984,13618
Massachusetts,1985,14526
Massachusetts,1986,15535
Massachusetts,1987,16636
Massachusetts,1988,18427
Massachusetts,1989,19309
Massachusetts,1990,19865
Massachusetts,1991,20321
Massachusetts,1992,21367
Massachusetts,1993,22035
Massachusetts,1994,22937
Massachusetts,1995,23955
Massachusetts,1996,25041
Massachusetts,1997,26170
Massachusetts,1998,27290
Massachusetts,1999,28856
Massachusetts,2000,31160
Massachusetts,2001,32916
Massachusetts,2002,33983
Massachusetts,2003,34931
Massachusetts,2004,36826
Massachusetts,2005,38113
Massachusetts,2006,40851
Massachusetts,2007,42193
Massachusetts,2008,44082
Massachusetts,2009,44822
Massachusetts,2010,46399
Massachusetts,2011,47225
Massachusetts,2012,49080
Massachusetts,2013,48075
Massachusetts,2014,49801
Michigan,1984,11958
Michigan,1985,12841
Michigan,1986,13596
Michigan,1987,13991
Michigan,1988,14959
Michigan,1989,15981
Michigan,1990,16695
Michigan,1991,16996
Michigan,1992,17975
Michigan,1993,18650
Michigan,1994,19874
Michigan,1995,20768
Michigan,1996,21542
Michigan,1997,22466
Michigan,1998,23573
Michigan,1999,24620
Michigan,2000,26225
Michigan,2001,26755
Michigan,2002,27180
Michigan,2003,28066
Michigan,2004,29015
Michigan,2005,29562
Michigan,2006,30260
Michigan,2007,31098
Michigan,2008,32086
Michigan,2009,31448
Michigan,2010,32623
Michigan,2011,34054
Michigan,2012,35326
Michigan,2013,35249
Michigan,2014,36731
Minnesota,1984,12586
Minnesota,1985,13282
Minnesota,1986,14026
Minnesota,1987,14728
Minnesota,1988,15353
Minnesota,1989,16584
Minnesota,1990,17342
Minnesota,1991,17777
Minnesota,1992,18838
Minnesota,1993,19094
Minnesota,1994,20214
Minnesota,1995,21044
Minnesota,1996,22188
Minnesota,1997,23114
Minnesota,1998,24804
Minnesota,1999,25969
Minnesota,2000,27620
Minnesota,2001,28708
Minnesota,2002,29630
Minnesota,2003,31181
Minnesota,2004,33029
Minnesota,2005,33389
Minnesota,2006,34626
Minnesota,2007,36197
Minnesota,2008,37519
Minnesota,2009,36757
Minnesota,2010,38071
Minnesota,2011,39884
Minnesota,2012,42037
Minnesota,2013,41523
Minnesota,2014,43365
Mississippi,1984,8673
Mississippi,1985,9089
Mississippi,1986,9450
Mississippi,1987,9982
Mississippi,1988,10753
Mississippi,1989,11587
Mississippi,1990,12165
Mississippi,1991,12773
Mississippi,1992,13634
Mississippi,1993,14304
Mississippi,1994,15231
Mississippi,1995,15888
Mississippi,1996,16655
Mississippi,1997,17369
Mississippi,1998,18196
Mississippi,1999,18670
Mississippi,2000,19594
Mississippi,2001,20664
Mississippi,2002,21321
Mississippi,2003,22226
Mississippi,2004,23580
Mississippi,2005,24848
Mississippi,2006,25654
Mississippi,2007,27126
Mississippi,2008,28148
Mississippi,2009,28090
Mississippi,2010,28975
Mississippi,2011,30160
Mississippi,2012,31140
Mississippi,2013,31523
Mississippi,2014,32125
Missouri,1984,11645
Missouri,1985,12348
Missouri,1986,12956
Missouri,1987,13520
Missouri,1988,14331
Missouri,1989,15257
Missouri,1990,15821
Missouri,1991,16509
Missouri,1992,17460
Missouri,1993,18048
Missouri,1994,18904
Missouri,1995,19673
Missouri,1996,20531
Missouri,1997,21472
Missouri,1998,22281
Missouri,1999,22974
Missouri,2000,24373
Missouri,2001,25035
Missouri,2002,26032
Missouri,2003,27156
Missouri,2004,28579
Missouri,2005,29167
Missouri,2006,30484
Missouri,2007,31526
Missouri,2008,33151
Missouri,2009,33206
Missouri,2010,33854
Missouri,2011,34770
Missouri,2012,36436
Missouri,2013,36337
Missouri,2014,37532
Montana,1984,10519
Montana,1985,10650
Montana,1986,11302
Montana,1987,11635
Montana,1988,11972
Montana,1989,13121
Montana,1990,13806
Montana,1991,14625
Montana,1992,15208
Montana,1993,16108
Montana,1994,16162
Montana,1995,16760
Montana,1996,17326
Montana,1997,17918
Montana,1998,19048
Montana,1999,19278
Montana,2000,20376
Montana,2001,21194
Montana,2002,22090
Montana,2003,23729
Montana,2004,25623
Montana,2005,27127
Montana,2006,28874
Montana,2007,30428
Montana,2008,32034
Montana,2009,31685
Montana,2010,33340
Montana,2011,34961
Montana,2012,36776
Montana,2013,36484
Montana,2014,37948
Nebraska,1984,12089
Nebraska,1985,12759
Nebraska,1986,13216
Nebraska,1987,13848
Nebraska,1988,14753
Nebraska,1989,15529
Nebraska,1990,16527
Nebraska,1991,17022
Nebraska,1992,17956
Nebraska,1993,18375
Nebraska,1994,19372
Nebraska,1995,20137
Nebraska,1996,21703
Nebraska,1997,21968
Nebraska,1998,23254
Nebraska,1999,24242
Nebraska,2000,25500
Nebraska,2001,26748
Nebraska,2002,27557
Nebraska,2003,29477
Nebraska,2004,30658
Nebraska,2005,31349
Nebraska,2006,32290
Nebraska,2007,34387
Nebraska,2008,36339
Nebraska,2009,36236
Nebraska,2010,37682
Nebraska,2011,41559
Nebraska,2012,42237
Nebraska,2013,41922
Nebraska,2014,43912
Nevada,1984,13219
Nevada,1985,13853
Nevada,1986,14478
Nevada,1987,15087
Nevada,1988,16250
Nevada,1989,17297
Nevada,1990,18027
Nevada,1991,18841
Nevada,1992,19987
Nevada,1993,20627
Nevada,1994,21570
Nevada,1995,22487
Nevada,1996,23367
Nevada,1997,24183
Nevada,1998,25613
Nevada,1999,26557
Nevada,2000,27871
Nevada,2001,28484
Nevada,2002,28707
Nevada,2003,29837
Nevada,2004,31545
Nevada,2005,33742
Nevada,2006,35271
Nevada,2007,35704
Nevada,2008,34880
Nevada,2009,33198
Nevada,2010,34399
Nevada,2011,35366
Nevada,2012,36286
Nevada,2013,35556
Nevada,2014,37647
New Hampshire,1984,13166
New Hampshire,1985,14096
New Hampshire,1986,15055
New Hampshire,1987,16169
New Hampshire,1988,17464
New Hampshire,1989,18361
New Hampshire,1990,18456
New Hampshire,1991,19271
New Hampshire,1992,20105
New Hampshire,1993,20463
New Hampshire,1994,21614
New Hampshire,1995,22560
