State,Rate,Year
Mississippi,946.3,2000
Mississippi,1042.8,2001
Mississippi,1032.3,2002
Mississippi,1025.6,2003
Mississippi,953.6,2004
Mississippi,923.7,2005
Mississippi,931.7,2006
Mississippi,932.7,2007
Mississippi,868,2008
Mississippi,1001.3,2009
Mississippi,1025.3,2010
Mississippi,1031.8,2011
Mississippi,940.4,2012
Mississippi,834.5,2013
Mississippi,813.3,2014
Missouri,1115.5,1984
Missouri,1098.7,1985
Missouri,1136.1,1986
Missouri,1111.3,1987
Missouri,1140.4,1988
Missouri,1135.8,1989
Missouri,1065.8,1990
Missouri,1253.3,1991
Missouri,1100.1,1992
Missouri,1025.5,1993
Missouri,1053,1994
Missouri,932.6,1995
Missouri,894.2,1996
Missouri,868.2,1997
Missouri,872.5,1998
Missouri,776.8,1999
Missouri,745,2000
Missouri,762.4,2001
Missouri,753.5,2002
Missouri,734.3,2003
Missouri,702.7,2004
Missouri,738.6,2005
Missouri,765.6,2006
Missouri,763.8,2007
Missouri,774.1,2008
Missouri,728,2009
Missouri,737.1,2010
Missouri,746.8,2011
Missouri,705.6,2012
Missouri,641.8,2013
Missouri,581.5,2014
Montana,858,1984
Montana,827.5,1985
Montana,792.6,1986
Montana,806.1,1987
Montana,703.6,1988
Montana,691.7,1989
Montana,709.1,1990
Montana,523.6,1991
Montana,643.9,1992
Montana,714.2,1993
Montana,721.7,1994
Montana,581.6,1995
Montana,558.4,1996
Montana,569.1,1997
Montana,519.9,1998
Montana,439.1,1999
Montana,437.4,2000
Montana,405.4,2001
Montana,361.3,2002
Montana,405.4,2003
Montana,379.2,2004
Montana,389.6,2005
Montana,357.8,2006
Montana,362.9,2007
Montana,381.3,2008
Montana,378.1,2009
Montana,372.6,2010
Montana,335.5,2011
Montana,389.9,2012
Montana,406.2,2013
Montana,351.2,2014
Nebraska,643.8,1984
Nebraska,730.4,1985
Nebraska,748.2,1986
Nebraska,847.9,1987
Nebraska,765.2,1988
Nebraska,745.5,1989
Nebraska,723.8,1990
Nebraska,726.6,1991
Nebraska,714.6,1992
Nebraska,663.5,1993
Nebraska,675.5,1994
Nebraska,631.9,1995
Nebraska,614.5,1996
Nebraska,592.2,1997
Nebraska,634,1998
Nebraska,609.7,1999
Nebraska,592,2000
Nebraska,567.4,2001
Nebraska,597.9,2002
Nebraska,583.2,2003
Nebraska,562.2,2004
Nebraska,535.1,2005
Nebraska,539.2,2006
Nebraska,509.1,2007
Nebraska,489.6,2008
Nebraska,485.7,2009
Nebraska,454.5,2010
Nebraska,473.6,2011
Nebraska,471.3,2012
Nebraska,478.6,2013
Nebraska,422.5,2014
Nevada,1978.4,1984
Nevada,1849.6,1985
Nevada,1603.9,1986
Nevada,1629.4,1987
Nevada,1544.9,1988
Nevada,1404.8,1989
Nevada,1367.4,1990
Nevada,1403.9,1991
Nevada,1289.2,1992
Nevada,1245,1993
Nevada,1354.5,1994
Nevada,1322.5,1995
Nevada,1220.1,1996
Nevada,1310.4,1997
Nevada,1137.6,1998
Nevada,973.5,1999
Nevada,877.1,2000
Nevada,844.3,2001
Nevada,874.3,2002
Nevada,979.3,2003
Nevada,992,2004
Nevada,973.4,2005
Nevada,997.9,2006
Nevada,971,2007
Nevada,932.8,2008
Nevada,836.7,2009
Nevada,824.1,2010
Nevada,747.9,2011
Nevada,803.1,2012
Nevada,825.6,2013
Nevada,772.3,2014
New Hampshire,735.9,1984
New Hampshire,762.3,1985
New Hampshire,755,1986
New Hampshire,694.8,1987
New Hampshire,682.7,1988
New Hampshire,736.9,1989
New Hampshire,735.5,1990
New Hampshire,735.4,1991
New Hampshire,621.9,1992
New Hampshire,515.1,1993
New Hampshire,463.9,1994
New Hampshire,418.6,1995
New Hampshire,435.7,1996
New Hampshire,393.2,1997
New Hampshire,325.1,1998
New Hampshire,307.9,1999
New Hampshire,404,2000
New Hampshire,388.2,2001
New Hampshire,379.6,2002
New Hampshire,356.1,2003
New Hampshire,383.2,2004
New Hampshire,320.8,2005
New Hampshire,334.2,2006
New Hampshire,385.6,2007
New Hampshire,324.2,2008
New Hampshire,371.1,2009
New Hampshire,413.4,2010
New Hampshire,473.8,2011
New Hampshire,453.1,2012
New Hampshire,376.5,2013
New Hampshire,313.7,2014
New Jersey,1062.8,1984
New Jersey,1056.9,1985
New Jersey,1070.8,1986
New Jersey,1008.8,1987
New Jersey,980.2,1988
New Jersey,976.6,1989
New Jersey,1017.2,1990
New Jersey,1015.7,1991
New Jersey,969.4,1992
New Jersey,974,1993
New Jersey,911.9,1994
New Jersey,875.2,1995
New Jersey,791.9,1996
New Jersey,756.2,1997
New Jersey,671.1,1998
New Jersey,577.1,1999
New Jersey,522,2000
New Jersey,550,2001
New Jersey,511.9,2002
New Jersey,502.8,2003
New Jersey,472.4,2004
New Jersey,447.9,2005
New Jersey,451.4,2006
New Jersey,428.7,2007
New Jersey,465.3,2008
New Jersey,424.3,2009
New Jersey,440.2,2010
New Jersey,489.4,2011
New Jersey,477.4,2012
New Jersey,402.7,2013
New Jersey,354.8,2014
New Mexico,1639.7,1984
New Mexico,1753.9,1985
New Mexico,1844.7,1986
New Mexico,1787.7,1987
New Mexico,1836.9,1988
New Mexico,1711.1,1989
New Mexico,1738.7,1990
New Mexico,1723,1991
